VBVID,VehicleLenght,VehicleSpeed,VehicleWeight,VehicleAxles,VehicleAxleWeight01,VehicleAxleWeight02,VehicleAxleWeight03,VehicleAxleWeight04,VehicleAxleWeight05,VehicleAxleWeight06,VehicleAxleWeight07,VehicleAxleWeight08,VehicleAxleWeight09,VehicleAxleWeight10,VehicleAxleWeight11,VehileAxelDistance0102,VehileAxelDistance0203,VehileAxelDistance0304,VehileAxelDistance0405,VehileAxelDistance0506,VehileAxelDistance0607,VehileAxelDistance0708,VehileAxelDistance0809,VehileAxelDistance0910,VehileAxelDistance1011
4903370,4500,98,840,2,570,270,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0
4903371,10200,76,6300,2,2600,3700,0,0,0,0,0,0,0,0,0,7250,0,0,0,0,0,0,0,0,0
4903372,4400,99,1480,2,890,590,0,0,0,0,0,0,0,0,0,2550,0,0,0,0,0,0,0,0,0
4903373,8900,75,18700,3,4700,7500,6500,0,0,0,0,0,0,0,0,5100,1350,0,0,0,0,0,0,0,0
4903374,4100,93,1180,2,590,590,0,0,0,0,0,0,0,0,0,2550,0,0,0,0,0,0,0,0,0
4903375,4100,94,1420,2,880,540,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0
4903376,4300,87,1160,2,730,430,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0
4903377,4100,101,1440,2,840,600,0,0,0,0,0,0,0,0,0,2600,0,0,0,0,0,0,0,0,0
4903378,4000,99,1020,2,620,400,0,0,0,0,0,0,0,0,0,2350,0,0,0,0,0,0,0,0,0
4903379,9300,91,8000,2,3100,4900,0,0,0,0,0,0,0,0,0,5100,0,0,0,0,0,0,0,0,0
4903380,4500,93,1200,2,660,540,0,0,0,0,0,0,0,0,0,2350,0,0,0,0,0,0,0,0,0
4903381,15200,77,13200,4,2900,5800,2800,1700,0,0,0,0,0,0,0,3450,8100,1250,0,0,0,0,0,0,0
4903382,4400,101,770,2,390,380,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0
4903383,15100,73,14200,4,4200,3100,4600,2300,0,0,0,0,0,0,0,3600,6650,1250,0,0,0,0,0,0,0
4903384,7200,92,8100,2,1600,6500,0,0,0,0,0,0,0,0,0,4100,0,0,0,0,0,0,0,0,0
4903385,19200,87,16900,6,4500,2700,2700,2100,2100,2800,0,0,0,0,0,4900,1350,4800,1250,4700,0,0,0,0,0
4903386,4900,100,1020,2,500,520,0,0,0,0,0,0,0,0,0,3150,0,0,0,0,0,0,0,0,0
4903387,5200,97,2510,2,1310,1200,0,0,0,0,0,0,0,0,0,2950,0,0,0,0,0,0,0,0,0
4903388,4400,95,1630,2,820,810,0,0,0,0,0,0,0,0,0,2600,0,0,0,0,0,0,0,0,0
4903389,4200,100,1030,2,540,490,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0
4903390,4400,103,1070,2,630,440,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0
4903391,4200,99,1920,2,830,1090,0,0,0,0,0,0,0,0,0,2700,0,0,0,0,0,0,0,0,0
4903392,8700,85,8400,3,2900,3600,1900,0,0,0,0,0,0,0,0,5150,1200,0,0,0,0,0,0,0,0
4903393,15500,77,13100,4,3400,4900,2700,2100,0,0,0,0,0,0,0,3500,8000,1250,0,0,0,0,0,0,0
4903394,18300,84,15600,4,3500,6300,3000,2800,0,0,0,0,0,0,0,3650,9700,1200,0,0,0,0,0,0,0
4903395,17700,82,10600,4,3600,2600,2700,1700,0,0,0,0,0,0,0,3700,8550,1250,0,0,0,0,0,0,0
4903396,4000,103,600,2,390,210,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0
4903397,4100,122,1080,2,600,480,0,0,0,0,0,0,0,0,0,2550,0,0,0,0,0,0,0,0,0
4903398,18000,84,45600,7,4200,8400,6400,6400,6600,7200,6400,0,0,0,0,3250,1300,4250,1200,3500,1200,0,0,0,0
4903399,7600,77,5300,2,1700,3600,0,0,0,0,0,0,0,0,0,4700,0,0,0,0,0,0,0,0,0
4903400,4100,100,830,2,520,310,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0
4903401,4500,89,1210,2,750,460,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0
4903402,4000,97,1480,2,800,680,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0
4903403,4100,86,2120,2,1180,940,0,0,0,0,0,0,0,0,0,2550,0,0,0,0,0,0,0,0,0
4903404,3800,90,470,2,280,190,0,0,0,0,0,0,0,0,0,2350,0,0,0,0,0,0,0,0,0
4903405,9000,85,4300,2,1200,3100,0,0,0,0,0,0,0,0,0,4750,0,0,0,0,0,0,0,0,0
4903406,4000,99,1160,2,730,430,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0
4903407,7000,74,2090,2,680,1410,0,0,0,0,0,0,0,0,0,4450,0,0,0,0,0,0,0,0,0
4903408,5000,87,2380,2,1400,980,0,0,0,0,0,0,0,0,0,2950,0,0,0,0,0,0,0,0,0
4903409,8300,99,7600,3,2400,3200,2000,0,0,0,0,0,0,0,0,4750,1200,0,0,0,0,0,0,0,0
4903410,8700,95,6200,2,2100,4100,0,0,0,0,0,0,0,0,0,4750,0,0,0,0,0,0,0,0,0
4903411,4100,109,500,2,310,190,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0
4903412,9600,85,13800,3,3500,5200,5100,0,0,0,0,0,0,0,0,5050,1200,0,0,0,0,0,0,0,0
4903413,4100,89,1570,2,940,630,0,0,0,0,0,0,0,0,0,2650,0,0,0,0,0,0,0,0,0
4903414,4000,113,1430,2,800,630,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0
4903415,5600,67,3260,2,1400,1860,0,0,0,0,0,0,0,0,0,3100,0,0,0,0,0,0,0,0,0
4903416,4400,99,530,2,340,190,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0
4903417,8300,94,5100,2,2000,3100,0,0,0,0,0,0,0,0,0,4350,0,0,0,0,0,0,0,0,0
4903418,4400,98,1390,2,810,580,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0
4903419,15600,76,10700,5,3300,2100,1200,2200,1900,0,0,0,0,0,0,3500,1300,6900,1200,0,0,0,0,0,0
4903420,7300,77,8000,3,3000,2900,2100,0,0,0,0,0,0,0,0,4150,1200,0,0,0,0,0,0,0,0
4903421,4400,89,1390,2,690,700,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0,0,0
4903422,9100,74,16400,3,2800,6200,7400,0,0,0,0,0,0,0,0,4700,1250,0,0,0,0,0,0,0,0
4903423,11900,87,11600,2,3700,7900,0,0,0,0,0,0,0,0,0,5900,0,0,0,0,0,0,0,0,0
4903424,8600,83,5980,3,2000,2380,1600,0,0,0,0,0,0,0,0,4750,1350,0,0,0,0,0,0,0,0
4903425,4000,106,1130,2,670,460,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0
4903426,4500,106,1780,2,1030,750,0,0,0,0,0,0,0,0,0,2700,0,0,0,0,0,0,0,0,0
4903427,3900,104,1010,2,590,420,0,0,0,0,0,0,0,0,0,2350,0,0,0,0,0,0,0,0,0
4903428,4400,107,1680,2,820,860,0,0,0,0,0,0,0,0,0,2650,0,0,0,0,0,0,0,0,0
4903429,4000,93,760,2,470,290,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0
4903430,18100,78,11900,4,2300,5700,1800,2100,0,0,0,0,0,0,0,3050,9950,2350,0,0,0,0,0,0,0
4903431,25500,69,20600,7,4400,2800,2600,3200,2400,3200,2000,0,0,0,0,3600,1350,6700,1250,7150,1250,0,0,0,0
4903432,200,69,18700,7,3900,2300,2300,2900,2200,3100,2000,0,0,0,0,3600,1350,6700,1200,7150,1250,0,0,0,0
4903433,300,69,20300,7,4200,2800,3000,3200,2200,2800,2100,0,0,0,0,3600,1300,6700,1250,7150,1250,0,0,0,0
4903434,4200,108,670,2,390,280,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0
4903435,7000,71,16600,3,4500,5600,6500,0,0,0,0,0,0,0,0,3500,1200,0,0,0,0,0,0,0,0
4903436,4000,95,580,2,340,240,0,0,0,0,0,0,0,0,0,2300,0,0,0,0,0,0,0,0,0
4903437,6700,72,17700,3,3600,6500,7600,0,0,0,0,0,0,0,0,4100,1200,0,0,0,0,0,0,0,0
4903438,1600,87,230,2,60,170,0,0,0,0,0,0,0,0,0,1300,0,0,0,0,0,0,0,0,0
4903439,4000,90,1060,2,650,410,0,0,0,0,0,0,0,0,0,2350,0,0,0,0,0,0,0,0,0
4903440,4000,95,1540,2,860,680,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0
4903441,19200,79,48300,7,3400,8900,8300,6200,8200,5700,7600,0,0,0,0,3250,1300,5050,1200,3750,1200,0,0,0,0
4903442,7800,84,6470,3,2110,2360,2000,0,0,0,0,0,0,0,0,5400,1350,0,0,0,0,0,0,0,0
4903443,4000,94,950,2,580,370,0,0,0,0,0,0,0,0,0,2350,0,0,0,0,0,0,0,0,0
4903444,4300,75,1610,2,1000,610,0,0,0,0,0,0,0,0,0,2700,0,0,0,0,0,0,0,0,0
4903445,4300,69,630,2,380,250,0,0,0,0,0,0,0,0,0,2300,0,0,0,0,0,0,0,0,0
4903446,3900,103,1010,2,580,430,0,0,0,0,0,0,0,0,0,2350,0,0,0,0,0,0,0,0,0
4903447,8000,84,7600,2,3700,3900,0,0,0,0,0,0,0,0,0,4800,0,0,0,0,0,0,0,0,0
4903448,11300,87,29200,4,5200,4600,10300,9100,0,0,0,0,0,0,0,1950,4350,1350,0,0,0,0,0,0,0
4903449,8300,84,5200,2,1900,3300,0,0,0,0,0,0,0,0,0,4700,0,0,0,0,0,0,0,0,0
4903450,4100,89,1290,2,730,560,0,0,0,0,0,0,0,0,0,2350,0,0,0,0,0,0,0,0,0
4903451,4300,83,2320,2,1270,1050,0,0,0,0,0,0,0,0,0,2950,0,0,0,0,0,0,0,0,0
4903452,12600,95,8600,3,3400,2700,2500,0,0,0,0,0,0,0,0,6750,1200,0,0,0,0,0,0,0,0
4903453,4400,89,860,2,450,410,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0
4903454,15700,74,30100,6,4300,5100,4300,5500,5700,5200,0,0,0,0,0,3250,1250,5350,1200,1200,0,0,0,0,0
4903455,4100,96,640,2,380,260,0,0,0,0,0,0,0,0,0,2350,0,0,0,0,0,0,0,0,0
4903456,4600,80,7600,2,3800,3800,0,0,0,0,0,0,0,0,0,3700,0,0,0,0,0,0,0,0,0
4903457,22100,79,6300,2,3100,3200,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0
4903458,4400,54,2000,2,850,1150,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0,0,0
4903459,4000,84,700,2,390,310,0,0,0,0,0,0,0,0,0,2350,0,0,0,0,0,0,0,0,0
4903460,4000,102,1120,2,640,480,0,0,0,0,0,0,0,0,0,2600,0,0,0,0,0,0,0,0,0
4903461,4100,84,930,2,590,340,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0
4903462,18000,82,52300,7,5900,7900,12800,5300,5400,7800,7200,0,0,0,0,4550,1300,4700,1200,3150,1250,0,0,0,0
4903463,16900,74,42800,6,4600,7600,6500,8800,7900,7400,0,0,0,0,0,3450,1300,4700,2350,2400,0,0,0,0,0
4903464,4000,110,880,2,540,340,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0
4903465,17100,74,46100,6,3900,8800,6400,9400,9000,8600,0,0,0,0,0,4200,1350,4750,2350,2350,0,0,0,0,0
4903466,4600,105,1080,2,590,490,0,0,0,0,0,0,0,0,0,3050,0,0,0,0,0,0,0,0,0
4903467,4200,100,980,2,460,520,0,0,0,0,0,0,0,0,0,2650,0,0,0,0,0,0,0,0,0
4903468,4000,130,1420,2,860,560,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0
4903469,4400,86,8200,2,4100,4100,0,0,0,0,0,0,0,0,0,3550,0,0,0,0,0,0,0,0,0
4903470,23200,86,6800,2,3100,3700,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0
4903471,4500,76,10300,2,4900,5400,0,0,0,0,0,0,0,0,0,3650,0,0,0,0,0,0,0,0,0
4903472,22300,77,7900,2,3800,4100,0,0,0,0,0,0,0,0,0,1250,0,0,0,0,0,0,0,0,0
4903473,6200,70,1730,3,600,700,430,0,0,0,0,0,0,0,0,2400,2600,0,0,0,0,0,0,0,0
4903474,4200,90,680,2,410,270,0,0,0,0,0,0,0,0,0,2300,0,0,0,0,0,0,0,0,0
4903475,4100,72,520,2,330,190,0,0,0,0,0,0,0,0,0,2350,0,0,0,0,0,0,0,0,0
4903476,4200,99,1000,2,640,360,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0
4903477,4400,81,8700,2,4500,4200,0,0,0,0,0,0,0,0,0,3550,0,0,0,0,0,0,0,0,0
4903478,22700,81,6200,2,2700,3500,0,0,0,0,0,0,0,0,0,1250,0,0,0,0,0,0,0,0,0
4903479,4000,116,570,2,250,320,0,0,0,0,0,0,0,0,0,2800,0,0,0,0,0,0,0,0,0
4903480,4600,73,7500,2,4200,3300,0,0,0,0,0,0,0,0,0,3650,0,0,0,0,0,0,0,0,0
4903481,21600,73,4790,2,2280,2510,0,0,0,0,0,0,0,0,0,1150,0,0,0,0,0,0,0,0,0
4903482,15100,83,31500,5,4900,8300,7000,5400,5900,0,0,0,0,0,0,3700,5650,1200,1200,0,0,0,0,0,0
4903483,16200,87,32200,5,4400,8100,4900,7500,7300,0,0,0,0,0,0,4600,1250,6300,1250,0,0,0,0,0,0
4903484,20200,72,15300,5,4900,5200,2100,2000,1100,0,0,0,0,0,0,3700,11300,1350,1350,0,0,0,0,0,0
4903485,9800,84,12200,2,4000,8200,0,0,0,0,0,0,0,0,0,5900,0,0,0,0,0,0,0,0,0
4903486,4200,102,970,2,570,400,0,0,0,0,0,0,0,0,0,2350,0,0,0,0,0,0,0,0,0
4903487,4400,92,470,2,270,200,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0
4903488,18600,73,14600,5,4000,1900,2200,3900,2600,0,0,0,0,0,0,3600,1350,6250,4900,0,0,0,0,0,0
4903489,7400,74,5200,2,2200,3000,0,0,0,0,0,0,0,0,0,4400,0,0,0,0,0,0,0,0,0
4903490,4100,112,690,2,410,280,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0
4903491,4000,93,1830,2,1010,820,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0
4903492,4100,104,910,2,570,340,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0,0,0
4903493,4000,81,22400,9,3600,3300,2800,1800,2400,2800,1700,1700,2300,0,0,3650,1400,8600,1250,1200,7100,1250,1250,0,0
4903494,8800,83,7300,2,3200,4100,0,0,0,0,0,0,0,0,0,4750,0,0,0,0,0,0,0,0,0
4903495,18500,84,11600,5,2700,3300,1700,1800,2100,0,0,0,0,0,0,3700,7200,1200,1250,0,0,0,0,0,0
4903496,17900,75,14600,4,2800,5900,3500,2400,0,0,0,0,0,0,0,3600,8700,1200,0,0,0,0,0,0,0
4903497,4200,86,1180,2,670,510,0,0,0,0,0,0,0,0,0,2650,0,0,0,0,0,0,0,0,0
4903498,4300,103,920,2,480,440,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0
4903499,11500,79,4700,2,1600,3100,0,0,0,0,0,0,0,0,0,7400,0,0,0,0,0,0,0,0,0
4903500,4300,99,1000,2,540,460,0,0,0,0,0,0,0,0,0,2600,0,0,0,0,0,0,0,0,0
4903501,4200,95,1460,2,810,650,0,0,0,0,0,0,0,0,0,2800,0,0,0,0,0,0,0,0,0
4903502,3700,99,700,2,420,280,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0
4903503,9300,70,6800,2,2700,4100,0,0,0,0,0,0,0,0,0,5850,0,0,0,0,0,0,0,0,0
4903504,4400,85,1600,2,970,630,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0,0
4903505,4300,114,980,2,540,440,0,0,0,0,0,0,0,0,0,2600,0,0,0,0,0,0,0,0,0
4903506,4100,97,1660,2,980,680,0,0,0,0,0,0,0,0,0,2850,0,0,0,0,0,0,0,0,0
4903507,4300,95,920,2,520,400,0,0,0,0,0,0,0,0,0,2350,0,0,0,0,0,0,0,0,0
4903508,12500,88,9500,2,3100,6400,0,0,0,0,0,0,0,0,0,5950,0,0,0,0,0,0,0,0,0
4903509,1800,73,750,2,280,470,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0
4903510,15200,87,10000,4,2500,3600,2500,1400,0,0,0,0,0,0,0,3450,7850,1200,0,0,0,0,0,0,0
4903511,4200,101,920,2,570,350,0,0,0,0,0,0,0,0,0,2350,0,0,0,0,0,0,0,0,0
